Product Id,Product Brand,Product Category,Product Name,Product Price,Product Rating,Product Reviews Count,Retailer,Product Tags,Main Category,Price Segment
ec5e34500114440a135349d3977f0512,Nivea,Personal Care > Hands & Feet > Hand Creams,NIVEA Soft Light Moisturizing Cream Tropical Fruit Fragrance,85.0,4.4,558.0,nykaa.com,"NIVEA Soft Light Moisturizing Cream Tropical Fruit Fragrance, Skin, Moisturizers, Face Moisturizer & Day Cream",Personal Care,Budget
25883da540d236950b64f2c29fc965a6,Ponds,Skin > Moisturizers > Face Moisturizer & Day Cream,Ponds Light Moisturiser Non-Oily Fresh Feel With Vitamin E + Glycerine,120.0,4.4,2272.0,nykaa.com,Ponds Light Moisturiser Non-Oily Fresh Feel,Skin,Budget
4452adf35cb307a3a0b6a8a0da2e65fa,VLCC,Natural > Skin > Cleanser,VLCC Insta Glow Oxygen Bleach,99.0,4.2,242.0,nykaa.com,"VLCC Insta Glow Bleach Pack , Buy VLCC Insta Glow Bleach Pack online India",Natural,Budget
f2a499d73cb52218b1886280d3b5bfb5,Matrix,Personal Care > Bath & Shower > Shampoo,Matrix Biolage Colorlast Color Protecting Shampoo,205.0,4.3,130.0,nykaa.com,"Matrix Biolage Colorlast Color Protecting Shampoo, Hair, Hair Care, Shampoo",Personal Care,Budget
0151305201986bd68fb9bab9c16337d6,Maybelline New York,Makeup > Lips > Lip Balm,Maybelline New York Baby Lips Color Candy Rush Lip Balm - Cotton Candy,190.0,4.4,157.0,nykaa.com,"Maybelline New York Baby Lips Color Candy Rush Lip Balm - Cotton Candy, Makeup, Lips, Lip Balm",Makeup,Budget
9f0f38d25dc18f93a15796c74afabb95,VLCC,Skin > Body Care > Lotions & Creams,VLCC Spf 30 Pa+++ Cocoa Butter Detan Glow Body Lotion (Buy 1 Get 1 Free),399.0,4.2,25.0,nykaa.com,"VLCC Spf 30 Pa+++ Cocoa Butter Detan Glow Body Lotion (Buy 1 Get 1 Free), Herbal, Skincare, Sunscreen \n",Skin,Budget
62a68cd49e6b8474d041884a2f2e4283,Physicians Formula,Makeup > Face > Foundation,Physicians Formula The Healthy Foundation SPF 20 - MW2 Medium Warm 2,1200.0,4.6,19.0,nykaa.com,"Physicians Formula The Healthy Foundation SPF 20 - MW2 Medium Warm 2, Makeup, Face, Foundation",Makeup,Mid-range
1ad885558d61ed6f63a2345519ae5015,APS COSMETOFOOD,Natural > Shop By Concern > Tan Removal,APS Cosmetofood Exfoliating Olive Scrub,600.0,4.5,3.0,nykaa.com,"APS Cosmetofood Exfoliating Olive Scrub, Herbal, Bath & Body, Body Scrubs & Exfoliants \n",Natural,Mid-range
fe19790da9d93ff9f431a4b56320f3b4,Jovees,Natural > Types of Skin > Combination Skin,Jovees Fairness Lotion Water Resistant Sun Screen SPF 25,274.0,4.5,29.0,nykaa.com,"Jovees Fairness Lotion Water Resistant Sun Screen SPF 25, Natural, Skin, Face Cream",Natural,Budget
bd42c66c19c1d7d21c57ef4362b99b36,Ralph Lauren,,Ralph Lauren Polo Red Intense Eau De Parfum,4900.0,5.0,1.0,nykaa.com,"Ralph Lauren Polo Red Intense Eau De Parfum, Fragrance, Men",,Premium
f8d07d195abcf8adad9bc744e305876e,Orly,Makeup > Nails > Nail Polish,Orly Breathable Treatment + Color Nail Lacquer - Stronger Than Ever - Red Shimmer,1000.0,3.5,2.0,nykaa.com,"Orly Breathable Treatment + Color Nail Lacquer - Stronger Than Ever - Red Shimmer, Makeup, Nails, Nail Polish",Makeup,Mid-range
295daff50e8e854436fc7ea91816590a,BOLLYGLOW,Makeup > Eyes > Under Eye Concealer,BOLLYGLOW Concealer + Corrector Masala - Cocoa,665.0,3.3,2.0,nykaa.com,"BOLLYGLOW Concealer + Corrector Masala - Cocoa, Makeup, Eyes, Under Eye Concealer",Makeup,Mid-range
43a298f6fb694f35826da3b2fe726168,L.A. Girl,Makeup > Makeup Kits > Eye Palettes,L.A. Girl Eye Lux Mesmerizing Eyeshadow - Tropicalize,675.0,4.3,110.0,nykaa.com,"L.A. Girl Eye Lux Mesmerizing Eyeshadow - Tropicalize, Makeup, Eyes, Eye Shadow",Makeup,Mid-range
3a5247720e93fd276bd6a797adf7629b,M.A.C,Makeup > Makeup Kits > Customize Your Palette,M.A.C Veluxe Pearl Eye Shadow (Pro Palette Refill Pan) - Coppering,1100.0,4.9,12.0,nykaa.com,"M.A.C Veluxe Pearl Eye Shadow (Pro Palette Refill Pan) - Coppering, Nykaa Luxe, Makeup, Eyes,Eyeshadow",Makeup,Mid-range
